Timestamp (Elapsed time in seconds),PID,FPS,FPS 1(%) Low,Render Latency(MSec),Average PC Latency(MSec),CPU Utilization(%),GPU1 Utilization(%),GPU1 Temperature(Degrees celsius),GPU1 Frequency(MHz),GPU1 Memory Frequency(MHz),GPU1 Voltage(Milli Volts),GPU1 Fan1 Speed (RPM),GPU1 Fan2 Speed (RPM),GPU2 Utilization(%),GPU2 Temperature(Degrees celsius),GPU2 Frequency(MHz),GPU2 Memory Frequency(MHz),GPU2 Voltage(Milli Volts),GPU2 Fan1 Speed (RPM),GPU2 Fan2 Speed (RPM),
0.000,24252,141.449,76.080,8.441,16.820,43.000,96.000,65.000,1980.000,6801.000,1.093,1969.000,1963.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.157,24252,134.942,68.055,9.352,17.185,42.000,96.000,65.000,1980.000,6801.000,1.093,1961.000,1955.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.670,24252,134.942,68.055,9.352,17.185,43.000,95.000,65.000,1980.000,6801.000,1.093,1959.000,1956.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.184,24252,122.840,20.332,7.859,18.549,39.000,91.000,64.000,1980.000,6801.000,1.093,1959.000,1963.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.698,24252,122.840,20.332,7.859,18.549,41.000,95.000,65.000,1980.000,6801.000,1.093,1953.000,1961.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2.212,24252,143.375,113.329,8.575,19.354,44.000,96.000,65.000,1980.000,6801.000,1.093,1965.000,1956.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2.725,24252,143.375,113.329,8.575,19.354,47.000,97.000,65.000,1980.000,6801.000,1.093,1963.000,1950.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3.239,24252,141.148,89.058,8.689,18.313,45.000,97.000,65.000,1980.000,6801.000,1.093,1957.000,1956.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3.752,24252,141.148,89.058,8.689,18.313,49.000,97.000,65.000,1980.000,6801.000,1.093,1967.000,1961.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4.266,24252,142.928,75.888,8.428,15.469,42.000,98.000,65.000,1980.000,6801.000,1.093,1959.000,1952.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
